"X","all","all_genus","mam","mam_genus","amph","amph_genus","rep","rep_genus","tree_height","tree_density","elevation","temp","precip","ID","country","island","BGR","vert_all","mam_all","amp_all","rep_all","x","y"
12871,0,0,0,0,0,0,0,0,9.9857873916626,61071.66015625,5,24.9970550537109,109.501968383789,23,"Cuba","Cuba",21,68,27,10,31,-81.3306,22.546622507
12872,0,0,0,0,0,0,0,0,11.5828409194946,77377.8203125,4.05987596511841,25.0580551147461,105.240921020508,23,"Cuba","Cuba",21,65,27,10,28,-81.2806,22.396622507
12873,0,0,0,0,0,0,0,0,33.9775848388672,45963.24609375,1280.56726074219,17.8190780639648,118.465682983398,4,"Dominican Republic","Hispaniola",21,65,18,14,33,-71.2706,19.196622507
12874,0,0,0,0,0,0,0,0,32.92626953125,51506.90234375,1460.68481445312,17.306706237793,115.415832519531,4,"Dominican Republic","Hispaniola",21,60,18,11,31,-71.0406,19.206622507
12875,0,0,0,0,0,0,0,0,33.1290550231934,38381.171875,1213.4423828125,17.264990234375,111.153579711914,4,"Dominican Republic","Hispaniola",21,60,18,11,31,-71.0106,19.136622507
12876,0,0,0,0,0,0,0,0,8.5995569229126,27214.626953125,5.92992115020752,25.0041748046875,109.344367980957,23,"Cuba","Cuba",21,68,27,10,31,-81.3206,22.536622507
12877,0,0,0,0,0,0,0,0,11.9756078720093,72009.078125,4.7401180267334,25.0560775756836,105.500923156738,23,"Cuba","Cuba",21,65,27,10,28,-81.3106,22.406622507
12878,0,0,0,0,0,0,0,0,31.3626747131348,50683.51171875,1637.61791992188,15.3954971313477,117.169425964355,4,"Dominican Republic","Hispaniola",21,65,18,17,30,-70.8706,19.026622507
12879,0,0,0,0,0,0,0,0,11.6844711303711,79317.6796875,7.83008527755737,25.0363815307617,107.806732177734,23,"Cuba","Cuba",21,65,27,10,28,-81.2306,22.446622507
12880,0,0,0,0,0,0,0,0,31.7156772613525,50330.5703125,1462.68200683594,15.2707061767578,118.479881286621,4,"Dominican Republic","Hispaniola",21,65,18,17,30,-70.8906,19.036622507
12881,0,0,0,0,0,0,0,0,33.2915916442871,41458.9765625,1302.1875,16.6924270629883,113.423751831055,4,"Dominican Republic","Hispaniola",21,60,18,11,31,-71.0106,19.116622507
12882,0,0,0,0,0,0,0,0,32.9562683105469,43751.94140625,1833.94641113281,13.3342361450195,133.590881347656,4,"Dominican Republic","Hispaniola",21,63,18,14,31,-71.0506,19.076622507
12883,0,0,0,0,0,0,0,0,13.4728937149048,54083.39453125,6.89931631088257,25.0698822021484,105.526435852051,23,"Cuba","Cuba",21,65,27,10,28,-81.2406,22.396622507
12884,0,0,0,0,0,0,0,0,14.0565843582153,63902.4765625,4.70293951034546,25.0529876708984,105.920921325684,23,"Cuba","Cuba",21,65,27,10,28,-81.3006,22.416622507
12885,0,0,0,0,0,0,0,0,10.68079662323,41108.23828125,4.74014663696289,25.0594497680664,103.383262634277,23,"Cuba","Cuba",21,65,27,10,28,-81.3006,22.356622507
12886,0,0,0,0,0,0,0,0,32.4452781677246,39137.859375,1316.84753417969,17.1197311401367,112.139205932617,4,"Dominican Republic","Hispaniola",21,60,18,11,31,-71.0006,19.146622507
12887,0,0,0,0,0,0,0,0,9.41266059875488,47655.73828125,4.34219026565552,25.0479309082031,106.406852722168,23,"Cuba","Cuba",21,65,27,10,28,-81.4006,22.426622507
12888,0,0,0,0,0,0,0,0,32.7751960754395,47538.6953125,1482.70141601562,16.714875793457,114.10147857666,4,"Dominican Republic","Hispaniola",21,60,18,11,31,-70.9906,19.146622507
12889,0,0,0,0,0,0,0,0,10.3095827102661,55925.86328125,5.12993621826172,25.0489395141602,106.340919494629,23,"Cuba","Cuba",21,65,27,10,28,-81.2906,22.426622507
12890,0,0,0,0,0,0,0,0,33.2000579833984,41849.05078125,1309.19970703125,16.6600204467773,120.588760375977,4,"Dominican Republic","Hispaniola",21,60,18,11,31,-71.1706,19.206622507
12891,0,0,0,0,0,0,0,0,26.8062953948975,43780.41015625,2261.16577148438,12.9589065551758,135.048889160156,4,"Dominican Republic","Hispaniola",21,65,18,17,30,-70.9206,19.026622507
